Name,Operation,Command Sent,Response Received,Medium of transmission,Date and Time
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-11 13:42:41
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-11 13:42:42
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-11 13:42:43
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-11 13:42:44
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-11 13:42:45
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-11 13:42:46
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-11 13:42:47
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-11 13:42:50
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-11 13:42:51
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-11 13:42:52
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-11 13:42:53
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-11 13:42:54
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-11 13:42:55
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-11 13:42:56
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-11 13:42:57
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-11 13:42:58
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-11 13:43:00
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,UART,2026-09-11 13:43:00
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,UART,2026-09-11 13:43:02
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-11 13:43:02
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,UART,2026-09-11 13:43:03
