Name,Operation,Command Sent,Response Received,Conversion,Medium of transmission,Date and Time
Tag ID,Read,24110100E1F023,E20047165A,hex as it is,UART,2026-09-09 15:31:58
Tag ID,Read,24110100E1F023,E20047165A,hex as it is,UART,2026-09-09 15:32:00
Tag ID,Read,24110100E1F023,E20047165A,hex as it is,UART,2026-09-09 15:32:01
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:33:50
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:33:51
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:33:52
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:33:54
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:33:56
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:33:58
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:33:59
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:33:59
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:34:00
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:34:02
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:34:07
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:34:40
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:34:42
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:34:43
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:34:45
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:34:46
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:34:47
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:34:49
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:34:51
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:34:56
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:34:58
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:04
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:06
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:08
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:11
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:12
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:14
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:35:16
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:35:18
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:20
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:22
Tag ID,Read,24110100E1F023,E20047165A206023507D010F,hex as it is,UART,2026-09-09 15:35:24
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:26
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:28
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:30
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:32
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:34
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:36
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:39
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:40
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:35:42
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,hex as it is,UART,2026-09-09 15:35:44
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,hex as it is,UART,2026-09-09 15:35:49
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,hex as it is,UART,2026-09-09 15:35:53
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,hex as it is,UART,2026-09-09 15:35:55
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,hex as it is,UART,2026-09-09 15:35:56
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,hex as it is,UART,2026-09-09 15:35:59
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,hex as it is,UART,2026-09-09 15:36:01
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:03
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:05
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:07
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,hex as it is,UART,2026-09-09 15:36:09
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:11
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:13
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:18
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:19
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:21
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:23
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:25
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:27
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:29
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:32
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:34
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:38
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:43
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:47
Tag ID,Read,24110100E1F023,E2004704CB506021A9450113,hex as it is,UART,2026-09-09 15:36:50
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:51
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:53
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:36:55
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:37:00
Tag ID,Read,24110100E1F023,E200470CB5B0602127EB0108,hex as it is,UART,2026-09-09 15:37:01
